"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-26","32.0",",,S","23.4","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-27","7.9",",,S","25.1","H,,S",,,,
"BR057324290","MONTES CLAROS, BR","-16.717","-43.867","668.0","2018-02-28","0.0",",,S","25.4","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-01",,,"27.4","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-02",,,"27.0","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-03",,,"26.9","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-04",,,"27.3","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-05",,,"27.6","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-06",,,"27.3","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-07",,,"27.7","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-08",,,"27.3","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-09",,,"26.9","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-10",,,"26.0","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-11",,,"26.7","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-12",,,"27.0","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-13",,,"27.2","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-14",,,"27.9","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-15",,,"26.7","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-16",,,"26.5","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-17",,,"26.3","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-18",,,"24.9","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-19",,,"24.4","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-20",,,"25.5","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-21",,,"26.3","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-22",,,"26.6","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-23",,,"26.4","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-24",,,"27.1","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-25",,,"26.1","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-26",,,"27.1","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-27",,,"27.4","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-28",,,"26.9","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-29",,,"27.4","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-30",,,"27.9","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-01-31",,,"27.4","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-02-01",,,"26.6","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-02-02",,,"27.1","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-02-03",,,"26.8","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-02-04",,,"26.6","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-02-05",,,"26.7","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-02-06",,,"27.8","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-02-07",,,"28.1","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-02-08",,,"28.1","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-02-09",,,"27.1","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-02-10",,,"26.3","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-02-11",,,"26.4","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-02-12",,,"26.3","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-02-13",,,"26.2","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-02-14",,,"24.1","H,,S",,,,
"BR039402250","JOAO PESSOA, BR","-7.1","-34.867","66.0","2018-02-15",,,"25.7","H,,S",,,,
