--------------------
BDMEP - INMET
--------------------
Estação           : CUIABA - MT (OMM: 83361)
Latitude  (graus) : -15.61
Longitude (graus) : -56.1
Altitude  (metros): 145.00
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/2017 a 12/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempMaxima;
83361;17/11/2017;0000;29.9;
83361;18/11/2017;0000;34.2;
83361;19/11/2017;0000;33.5;
83361;20/11/2017;0000;32.7;
83361;21/11/2017;0000;32.1;
83361;22/11/2017;0000;32.3;
83361;23/11/2017;0000;34.9;
83361;24/11/2017;0000;35.8;
83361;25/11/2017;0000;36;
83361;26/11/2017;0000;33.7;
83361;27/11/2017;0000;35.8;
83361;28/11/2017;0000;30.1;
83361;29/11/2017;0000;36.1;
83361;30/11/2017;0000;35.3;
83361;01/12/2017;0000;32.8;
83361;02/12/2017;0000;31.2;
83361;03/12/2017;0000;34;
83361;04/12/2017;0000;33.9;
83361;05/12/2017;0000;32.6;
83361;07/12/2017;0000;25.6;
83361;08/12/2017;0000;34.9;
83361;09/12/2017;0000;28.4;
83361;10/12/2017;0000;30.8;
83361;11/12/2017;0000;31.5;
83361;12/12/2017;0000;35.2;
